month,day,hour,GHI,solar_zenith_angle,clearsky_GHI,temperature,relative_humidity
1,5,13,956,20.52,956,30.8,66.66
1,5,13,936,23.0,936,31.0,65.84
1,5,14,899,27.25,899,31.200000000000003,65.23
1,5,14,843,32.59,843,31.200000000000003,65.23
1,5,15,769,38.55,769,31.3,64.96000000000001
1,5,15,682,44.9,682,31.200000000000003,65.33
1,5,16,584,51.47,584,31.200000000000003,65.89
1,5,16,475,58.19,475,31.0,66.64
1,5,17,360,65.0,360,30.8,69.41
1,5,17,242,71.86,242,30.3,71.41
1,5,18,130,78.74,130,29.9,75.26
1,5,18,37,85.57000000000001,37,29.6,76.64
1,6,6,0,99.36,0,26.200000000000003,93.29
1,6,6,0,92.46,0,26.1,93.84
1,6,7,21,85.38,42,26.1,93.44
1,6,7,71,78.54,139,26.3,92.34
1,6,8,82,71.66,256,26.4,91.4
1,6,8,299,64.79,375,26.700000000000003,89.8
1,6,9,440,57.98,494,26.9,87.34
1,6,9,604,51.26,604,27.200000000000003,85.82000000000001
1,6,10,705,44.68,705,27.6,82.15
1,6,10,791,38.34,791,28.0,80.26
1,6,11,864,32.37,864,28.4,76.79
1,6,11,165,27.04,919,28.8,75.04
1,6,12,651,22.81,956,29.200000000000003,72.53
1,6,12,974,20.37,974,29.4,71.7
1,6,13,804,20.38,974,29.700000000000003,70.05
1,6,13,814,22.85,955,29.8,69.58
1,6,14,788,27.1,917,29.9,68.93
1,6,14,704,32.44,861,29.8,69.32000000000001
1,6,15,609,38.41,780,29.700000000000003,69.97
1,6,15,506,44.76,693,29.6,70.37
1,6,16,506,51.34,596,29.4,72.57000000000001
1,6,16,419,58.06,486,29.200000000000003,73.41
1,6,17,301,64.88,371,29.0,76.82000000000001
1,6,17,168,71.75,252,28.700000000000003,78.16
1,6,18,90,78.63,138,28.4,80.97
1,6,18,29,85.47,41,28.200000000000003,81.92
1,7,6,0,99.48,0,25.3,97.87
1,7,6,0,92.57,0,25.4,97.3
1,7,7,25,85.48,45,25.5,97.31
1,7,7,34,78.64,146,25.700000000000003,96.17
1,7,8,168,71.75,265,25.9,95.59
1,7,8,236,64.87,386,26.200000000000003,94.01
1,7,9,251,58.05,504,26.5,90.67
1,7,9,280,51.32,615,27.0,88.05
1,7,10,144,44.73,714,27.4,82.22
1,7,10,272,38.37,802,27.700000000000003,80.79
1,7,11,268,32.38,874,28.0,75.79
1,7,11,493,27.02,929,28.200000000000003,74.92
1,7,12,475,22.75,966,28.3,72.49
1,7,12,861,20.27,986,28.5,71.66
1,7,13,772,20.24,985,28.6,70.24
1,7,13,799,22.69,967,28.6,70.24
1,7,14,929,26.94,929,28.6,69.9
1,7,14,874,32.28,874,28.5,70.3
1,7,15,792,38.26,792,28.5,70.33
1,7,15,705,44.62,705,28.3,71.15
1,7,16,93,51.21,605,28.200000000000003,71.95
1,7,16,144,57.94,495,28.0,72.78
1,7,17,63,64.76,378,27.700000000000003,75.19
1,7,17,11,71.63,258,27.4,76.52
1,7,18,7,78.53,142,27.1,79.56
1,7,18,18,85.37,43,26.8,80.97
1,8,6,0,99.59,0,24.200000000000003,97.06
1,8,6,0,92.68,0,24.3,96.58
1,8,7,4,85.57000000000001,43,24.4,96.39
1,8,7,7,78.73,142,24.6,95.24
1,8,8,12,71.83,259,24.8,93.7
1,8,8,16,64.95,380,25.1,92.05
1,8,9,55,58.120000000000005,499,25.3,88.61
1,8,9,242,51.38,610,25.9,85.53
1,8,10,309,44.78,711,26.5,79.57000000000001
1,8,10,419,38.4,799,27.0,77.27
1,8,11,588,32.39,871,27.6,72.9
1,8,11,563,27.0,927,28.0,71.15
1,8,12,519,22.69,965,28.3,69.60000000000001
1,8,12,473,20.16,985,28.5,68.73
1,8,13,637,20.09,986,28.700000000000003,68.07000000000001
1,8,13,545,22.52,967,28.8,67.62
1,8,14,551,26.77,930,28.8,67.97
1,8,14,325,32.13,875,28.8,67.97
1,8,15,425,38.12,804,28.700000000000003,68.97
1,8,15,350,44.48,717,28.6,69.37
1,8,16,332,51.08,618,28.5,71.11
1,8,16,209,57.81,507,28.4,71.52
1,8,17,41,64.64,390,28.3,74.25
